Timestamp,Event Type,Duration,Details
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:56,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:57,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:58,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
2024-11-02 23:19:59,Distraction,,Eating/Drinking
